x,y,z
0.145803,-0.0591774,-0.583061
-0.156738,-0.0202892,-0.568586
-0.0477598,-0.0221264,-0.578002
-0.0895193,0.0223693,-0.573385
0.17957,0.0238631,-0.574748
-0.0655359,0.0767303,-0.56546
0.071398,0.0810182,-0.570012
0.142749,0.0678192,-0.555781
-0.189063,0.0914403,-0.580567
-0.129185,0.0848916,-0.559514
-0.0108092,0.10077,-0.571719
0.118793,0.115293,-0.583382
-0.0523171,0.147196,-0.585861
0.0636448,0.138621,-0.584899
0.172566,0.119782,-0.557221
-0.121964,0.171006,-0.579086
0.00669243,0.157084,-0.582723
-0.0284463,0.208076,-0.579697
0.0733164,0.196846,-0.57451
-0.0122476,-0.209678,-0.525165
0.0893826,-0.190104,-0.544905
-0.114169,-0.176318,-0.547979
0.00912038,-0.156532,-0.542881
0.137836,-0.158546,-0.529143
-0.101094,-0.118998,-0.536372
-0.0496559,-0.146831,-0.549682
-0.190927,-0.0875757,-0.526148
-0.0129321,-0.104093,-0.523908
0.0499882,-0.107435,-0.53406
0.109783,-0.106458,-0.538787
-0.136029,-0.0635805,-0.52446
0.144855,-0.0606238,-0.522467
0.195443,-0.0769127,-0.551786
-0.207689,-0.0314629,-0.539004
-0.0916323,-0.0254019,-0.537241
-0.0191351,-0.0448031,-0.530448
0.042648,-0.0487976,-0.523716
0.187875,-0.0203209,-0.533539
0.0190654,-0.000143211,-0.549709
0.13304,-0.00808249,-0.554457
-0.20814,0.0279694,-0.554225
-0.138676,0.0290985,-0.539736
-0.0335427,0.0286439,-0.549484
0.100066,0.0351397,-0.52925
0.0267349,0.0579669,-0.536531
0.199619,0.0653293,-0.536327
0.0350008,0.117363,-0.53671
-0.161382,0.134443,-0.549299
-0.089586,0.127013,-0.543517
0.103455,0.119276,-0.525574
-0.0272964,0.163016,-0.533695
0.121315,0.171464,-0.549038
-0.0766639,0.195511,-0.546307
0.0215875,0.208894,-0.546637
-0.0699494,-0.198034,-0.513759
0.0433843,-0.205522,-0.503153
-0.15242,-0.144469,-0.51447
-0.0670719,-0.141594,-0.492531
0.0531598,-0.147894,-0.489909
0.174745,-0.116472,-0.507555
-0.0655198,-0.0808891,-0.50673
0.0851741,-0.0773976,-0.492524
0.200054,-0.0639446,-0.493451
